food_id,name,alternate_names,variants,category,subcategory,serving_amount,serving_unit,serving_weight_g,calories_min,calories_max,protein_min,protein_max,carbs_min,carbs_max,fat_min,fat_max,fiber_min,fiber_max,iron_min,iron_max,calcium_min,calcium_max,magnesium_min,magnesium_max,potassium_min,potassium_max,zinc_min,zinc_max,sodium_min,sodium_max,vitamin_a_min,vitamin_a_max,vitamin_c_min,vitamin_c_max,vitamin_d_min,vitamin_d_max,vitamin_e_min,vitamin_e_max,vitamin_k_min,vitamin_k_max,vitamin_b1_min,vitamin_b1_max,vitamin_b2_min,vitamin_b2_max,vitamin_b6_min,vitamin_b6_max,folate_min,folate_max,vitamin_b12_min,vitamin_b12_max,dietary_tags,allergens,ingredients,price_min_inr,price_max_inr,source,source_basis,confidence,variant_review_notes,fix_notes,nutrition_source,nutrition_source_basis,nutrition_confidence,b12_source,b12_source_basis,b12_confidence,price_source,price_source_basis,price_confidence,match_type,match_food,uncertainty_method,uncertainty_percent,variant_status
FD001,Idli,Idly,"Mini Idli, Rava Idli, Kanchipuram Idli, Thatte Idli",Breakfast & Tiffin,Idli,2,pieces,80,93.524,126.532,3.153,4.266,19.161,25.923,0.227,0.307,1.57,2.124,0.464,0.627,5.443,7.365,17.301,23.407,107.526,145.477,0.423,0.573,68.567,92.767,0.0,0.0,0.0,0.0,0.571,0.773,0.03,0.04,0.868,1.175,0.049,0.066,0.018,0.025,0.06,0.081,8.004,10.829,0.0,0.0,Vegetarian,,"parboiled rice, urad dal, salt",30,80,Anuvaad Indian Nutrient Databank (INDB) 2024.11,Closest INDB analogue: Idli; INDB 2024.11 values are per 100 g and were converted to the CSV serving weight of 80 g. Range is a transparent prep-variability modeling band of ±15%; this range is not reported by INDB. Vitamin D = D2+D3; Vitamin K = K1+K2. Vitamin B12 is not present in the supplied INDB workbook and is therefore left TBD rather than fabricated.,Medium,"Rava Idli (semolina + curd) and Kanchipuram Idli (ghee, cashew, spices) differ from the rice-urad base; Kanchipuram likely higher fat. Mini and Thatte Idli use the same batter, only piece size differs. Consider splitting out Rava and Kanchipuram.","Section 6: boilerplate variant_review_notes replaced with dish-specific note | Section 4/5: ingredients compiled from standard/typical recipes (not from INDB); allergens derived programmatically from that ingredient list using the spec vocabulary (dairy/egg/gluten/nuts/groundnut/soy/fish/shellfish); vitamin_b12 is a category-level estimate from standard published B12 values for the dish's primary animal-protein/dairy component (not from INDB, which has no B12 column); price is a rough India-wide market estimate, not measured data.",Anuvaad Indian Nutrient Databank (INDB) 2024.11,Closest INDB analogue: Idli; INDB 2024.11 values are per 100 g and were converted to the CSV serving weight of 80 g. Range is a transparent prep-variability modeling band of ±15%; this range is not reported by INDB. Vitamin D = D2+D3; Vitamin K = K1+K2. Vitamin B12 is not present in the supplied INDB workbook and is therefore left TBD rather than fabricated.,Medium,N/A — no significant dietary B12 source,"Compiled ingredient list contains no meat, fish, egg, dairy solids, or fortified ingredient — only plant-based ingredients, and/or ghee/butter in amounts too small to contribute measurable B12 (B12 resides in milk solids/whey, not milk fat). Vitamin B12 is not naturally present in plant foods (USDA FoodData Central), so the value is retained at 0.0 rather than estimated.",High,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,Close recipe,Idli,"prep-variability modeling band (internally generated, not source-reported)",15.0,"Reviewed — distinct variant, split recommended"
FD002,Plain Dosa,"Dosai, Sada Dosai","Paper Dosa, Set Dosa, Onion Dosa, Neer Dosa, Wheat Dosa",Breakfast & Tiffin,Dosa/Uttapam,1,piece,90,291.393,394.237,7.907,10.698,49.02,66.322,6.45,8.726,4.001,5.413,1.146,1.551,14.806,20.031,42.409,57.376,263.459,356.445,1.066,1.442,109.379,147.984,68.469,92.634,0.0,0.0,1.343,1.816,0.207,0.28,2.645,3.579,0.124,0.168,0.051,0.07,0.153,0.208,19.393,26.237,0.0,0.0,Vegetarian,,"rice, urad dal, salt, oil",30,80,Anuvaad Indian Nutrient Databank (INDB) 2024.11,Closest INDB analogue: Plain dosa; INDB 2024.11 values are per 100 g and were converted to the CSV serving weight of 90 g. Range is a transparent prep-variability modeling band of ±15%; this range is not reported by INDB. Vitamin D = D2+D3; Vitamin K = K1+K2. Vitamin B12 is not present in the supplied INDB workbook and is therefore left TBD rather than fabricated.,Medium,"Base is the standard fermented rice-urad dosa. Paper Dosa likely uses more oil per dosa; Neer Dosa is rice-only (no urad), likely lower protein; Wheat Dosa likely higher fiber. Consider splitting out Paper, Neer and Wheat Dosa.","Section 6: boilerplate variant_review_notes replaced with dish-specific note | Section 4/5: ingredients compiled from standard/typical recipes (not from INDB); allergens derived programmatically from that ingredient list using the spec vocabulary (dairy/egg/gluten/nuts/groundnut/soy/fish/shellfish); vitamin_b12 is a category-level estimate from standard published B12 values for the dish's primary animal-protein/dairy component (not from INDB, which has no B12 column); price is a rough India-wide market estimate, not measured data.",Anuvaad Indian Nutrient Databank (INDB) 2024.11,Closest INDB analogue: Plain dosa; INDB 2024.11 values are per 100 g and were converted to the CSV serving weight of 90 g. Range is a transparent prep-variability modeling band of ±15%; this range is not reported by INDB. Vitamin D = D2+D3; Vitamin K = K1+K2. Vitamin B12 is not present in the supplied INDB workbook and is therefore left TBD rather than fabricated.,Medium,N/A — no significant dietary B12 source,"Compiled ingredient list contains no meat, fish, egg, dairy solids, or fortified ingredient — only plant-based ingredients, and/or ghee/butter in amounts too small to contribute measurable B12 (B12 resides in milk solids/whey, not milk fat). Vitamin B12 is not naturally present in plant foods (USDA FoodData Central), so the value is retained at 0.0 rather than estimated.",High,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,Close recipe,Plain dosa,"prep-variability modeling band (internally generated, not source-reported)",15.0,"Reviewed — distinct variant, split recommended"
FD003,Masala Dosa,Masala Dosai,"Mysore Masala Dosa, Ghee Roast Dosa",Breakfast & Tiffin,Dosa/Uttapam,1,piece,90,125.907,170.345,2.515,3.403,14.968,20.251,5.998,8.115,1.93,2.611,0.602,0.814,11.921,16.128,20.367,27.555,207.904,281.282,0.379,0.513,146.327,197.972,0.0,0.0,5.161,6.982,1.131,1.53,2.837,3.838,4.558,6.166,0.049,0.066,0.02,0.027,0.071,0.097,13.047,17.651,0.0,0.0,Vegetarian,,"rice, urad dal, potato, onion, mustard seeds, turmeric, oil",30,80,Anuvaad Indian Nutrient Databank (INDB) 2024.11,Closest INDB analogue: Masala dosa; INDB 2024.11 values are per 100 g and were converted to the CSV serving weight of 90 g. Range is a transparent prep-variability modeling band of ±15%; this range is not reported by INDB. Vitamin D = D2+D3; Vitamin K = K1+K2. Vitamin B12 is not present in the supplied INDB workbook and is therefore left TBD rather than fabricated.,Medium,"Ghee Roast Dosa likely higher fat than the base Masala Dosa (cooked with substantial ghee); Mysore Masala Dosa adds a red chilli-garlic chutney spread, likely more oil and sodium. Consider splitting out.","Section 6: boilerplate variant_review_notes replaced with dish-specific note | Section 4/5: ingredients compiled from standard/typical recipes (not from INDB); allergens derived programmatically from that ingredient list using the spec vocabulary (dairy/egg/gluten/nuts/groundnut/soy/fish/shellfish); vitamin_b12 is a category-level estimate from standard published B12 values for the dish's primary animal-protein/dairy component (not from INDB, which has no B12 column); price is a rough India-wide market estimate, not measured data.",Anuvaad Indian Nutrient Databank (INDB) 2024.11,Closest INDB analogue: Masala dosa; INDB 2024.11 values are per 100 g and were converted to the CSV serving weight of 90 g. Range is a transparent prep-variability modeling band of ±15%; this range is not reported by INDB. Vitamin D = D2+D3; Vitamin K = K1+K2. Vitamin B12 is not present in the supplied INDB workbook and is therefore left TBD rather than fabricated.,Medium,N/A — no significant dietary B12 source,"Compiled ingredient list contains no meat, fish, egg, dairy solids, or fortified ingredient — only plant-based ingredients, and/or ghee/butter in amounts too small to contribute measurable B12 (B12 resides in milk solids/whey, not milk fat). Vitamin B12 is not naturally present in plant foods (USDA FoodData Central), so the value is retained at 0.0 rather than estimated.",High,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,Close recipe,Masala dosa,"prep-variability modeling band (internally generated, not source-reported)",15.0,"Reviewed — distinct variant, split recommended"
FD004,Rava Dosa,Rava Dosai,,Breakfast & Tiffin,Dosa/Uttapam,1,piece,90,173.695,234.999,5.585,7.556,25.123,33.99,5.444,7.366,3.094,4.186,1.061,1.436,88.768,120.098,21.523,29.12,194.358,262.955,0.884,1.196,154.806,209.443,8.935,12.089,2.377,3.216,3.847,5.205,2.151,2.91,4.137,5.598,0.108,0.146,0.104,0.141,0.082,0.11,16.529,22.363,0.05,0.15,Vegetarian,"Dairy, Gluten","semolina (rava), rice flour, maida, buttermilk, cumin, oil",30,80,Anuvaad Indian Nutrient Databank (INDB) 2024.11,Closest INDB analogue: Semolina dosa (Suji/Rava dosa); INDB 2024.11 values are per 100 g and were converted to the CSV serving weight of 90 g. Range is a transparent prep-variability modeling band of ±15%; this range is not reported by INDB. Vitamin D = D2+D3; Vitamin K = K1+K2. Vitamin B12 is not present in the supplied INDB workbook and is therefore left TBD rather than fabricated.,Medium,,"Section 4/5: ingredients compiled from standard/typical recipes (not from INDB); allergens derived programmatically from that ingredient list using the spec vocabulary (dairy/egg/gluten/nuts/groundnut/soy/fish/shellfish); vitamin_b12 is a category-level estimate from standard published B12 values for the dish's primary animal-protein/dairy component (not from INDB, which has no B12 column); price is a rough India-wide market estimate, not measured data.",Anuvaad Indian Nutrient Databank (INDB) 2024.11,Closest INDB analogue: Semolina dosa (Suji/Rava dosa); INDB 2024.11 values are per 100 g and were converted to the CSV serving weight of 90 g. Range is a transparent prep-variability modeling band of ±15%; this range is not reported by INDB. Vitamin D = D2+D3; Vitamin K = K1+K2. Vitamin B12 is not present in the supplied INDB workbook and is therefore left TBD rather than fabricated.,Medium,USDA FoodData Central,"Category-level estimate: curd/yogurt or milk is the dish's primary (or only) dairy component. USDA values for plain curd/yogurt and whole milk (~0.4-0.6 mcg/100g), scaled to a typical dairy-content fraction of this serving. Not from INDB.",Medium,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,Close recipe,Semolina dosa (Suji/Rava dosa),"prep-variability modeling band (internally generated, not source-reported)",15.0,No variants listed
FD005,Pesarattu,Moong Dal Dosa,MLA Pesarattu (topped with upma),Breakfast & Tiffin,Tiffin Staples,1,serving,150,364.594,493.274,15.706,21.249,40.68,55.038,14.873,20.123,7.702,10.42,4.315,5.837,46.455,62.851,110.857,149.983,897.87,1214.766,1.879,2.542,78.23,105.84,85.37,115.501,7.125,9.64,1.777,2.404,2.999,4.057,9.308,12.593,0.243,0.329,0.091,0.123,0.212,0.287,68.736,92.996,0.0,0.0,Vegetarian,,"whole green gram (moong dal), rice, ginger, green chilli, oil",30,80,Anuvaad Indian Nutrient Databank (INDB) 2024.11,Closest INDB analogue: Moong bean dosa (Pesarattu); INDB 2024.11 values are per 100 g and were converted to the CSV serving weight of 150 g. Range is a transparent prep-variability modeling band of ±15%; this range is not reported by INDB. Vitamin D = D2+D3; Vitamin K = K1+K2. Vitamin B12 is not present in the supplied INDB workbook and is therefore left TBD rather than fabricated.,Medium,"MLA Pesarattu adds a portion of upma folded into/topped on the pesarattu, adding semolina, oil and vegetables — a real composition change versus the plain moong-dal crepe. Consider splitting out.","Section 4/5: ingredients compiled from standard/typical recipes (not from INDB); allergens derived programmatically from that ingredient list using the spec vocabulary (dairy/egg/gluten/nuts/groundnut/soy/fish/shellfish); vitamin_b12 is a category-level estimate from standard published B12 values for the dish's primary animal-protein/dairy component (not from INDB, which has no B12 column); price is a rough India-wide market estimate, not measured data.",Anuvaad Indian Nutrient Databank (INDB) 2024.11,Closest INDB analogue: Moong bean dosa (Pesarattu); INDB 2024.11 values are per 100 g and were converted to the CSV serving weight of 150 g. Range is a transparent prep-variability modeling band of ±15%; this range is not reported by INDB. Vitamin D = D2+D3; Vitamin K = K1+K2. Vitamin B12 is not present in the supplied INDB workbook and is therefore left TBD rather than fabricated.,Medium,N/A — no significant dietary B12 source,"Compiled ingredient list contains no meat, fish, egg, dairy solids, or fortified ingredient — only plant-based ingredients, and/or ghee/butter in amounts too small to contribute measurable B12 (B12 resides in milk solids/whey, not milk fat). Vitamin B12 is not naturally present in plant foods (USDA FoodData Central), so the value is retained at 0.0 rather than estimated.",High,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,Close recipe,Moong bean dosa (Pesarattu),"prep-variability modeling band (internally generated, not source-reported)",15.0,"Reviewed — distinct variant, split recommended"
FD006,Adai,Adai Dosai,,Breakfast & Tiffin,Tiffin Staples,1,serving,150,343.147,514.72,14.782,22.173,38.287,57.431,13.998,20.998,7.249,10.873,4.061,6.091,43.722,65.584,104.336,156.504,845.054,1267.581,1.768,2.653,73.628,110.442,80.349,120.523,6.706,10.059,1.672,2.508,2.823,4.234,8.76,13.14,0.229,0.343,0.085,0.128,0.2,0.299,64.693,97.04,0.0,0.0,Vegetarian,,"mixed lentils (toor dal, chana dal, urad dal, moong dal), rice, red chilli, oil",30,80,Anuvaad Indian Nutrient Databank (INDB) 2024.11,"Section 2 fix: Moong bean dosa (Pesarattu) (100%); INDB 2024.11 values are per 100 g (commodity components use standard published composition) and were converted to the CSV serving weight of 150 g. Range is a transparent prep-variability modeling band of ±20%; this range is not reported by INDB. Vitamin D = D2+D3; Vitamin K = K1+K2. Vitamin B12 is not present in the supplied INDB workbook and is therefore left TBD rather than fabricated. Adai modeled on INDB Pesarattu (both are savory fermented/ground lentil-rice pancakes), replacing the prior spiced-milk-drink mismatch.",Medium,,"Section 2: re-derived from correct dish-level analogue (was: wrong-category/keyword-bug match per audit report). | Section 4/5: ingredients compiled from standard/typical recipes (not from INDB); allergens derived programmatically from that ingredient list using the spec vocabulary (dairy/egg/gluten/nuts/groundnut/soy/fish/shellfish); vitamin_b12 is a category-level estimate from standard published B12 values for the dish's primary animal-protein/dairy component (not from INDB, which has no B12 column); price is a rough India-wide market estimate, not measured data.",Anuvaad Indian Nutrient Databank (INDB) 2024.11,"Section 2 fix: Moong bean dosa (Pesarattu) (100%); INDB 2024.11 values are per 100 g (commodity components use standard published composition) and were converted to the CSV serving weight of 150 g. Range is a transparent prep-variability modeling band of ±20%; this range is not reported by INDB. Vitamin D = D2+D3; Vitamin K = K1+K2. Vitamin B12 is not present in the supplied INDB workbook and is therefore left TBD rather than fabricated. Adai modeled on INDB Pesarattu (both are savory fermented/ground lentil-rice pancakes), replacing the prior spiced-milk-drink mismatch.",Medium,N/A — no significant dietary B12 source,"Compiled ingredient list contains no meat, fish, egg, dairy solids, or fortified ingredient — only plant-based ingredients, and/or ghee/butter in amounts too small to contribute measurable B12 (B12 resides in milk solids/whey, not milk fat). Vitamin B12 is not naturally present in plant foods (USDA FoodData Central), so the value is retained at 0.0 rather than estimated.",High,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,Ingredient composition,Moong bean dosa (Pesarattu) (100%),"prep-variability modeling band (internally generated, not source-reported)",20.0,No variants listed
FD007,Ragi Dosa,"Ragi Dosai, Finger Millet Dosa",,Breakfast & Tiffin,Dosa/Uttapam,1,piece,90,238.421,291.404,6.888,8.418,32.831,40.127,8.324,10.174,4.505,5.506,1.64,2.005,15.761,19.264,57.963,70.843,275.215,336.374,1.031,1.261,78.769,96.273,0.0,0.0,0.0,0.0,2.138,2.613,3.812,4.66,10.343,12.641,0.127,0.155,0.05,0.062,0.123,0.15,23.599,28.843,0.05,0.15,Vegetarian,Dairy,"finger millet (ragi) flour, rice flour, buttermilk, cumin, oil",30,80,Anuvaad Indian Nutrient Databank (INDB) 2024.11,Direct INDB equivalent: Jowar dosa; INDB 2024.11 values are per 100 g and were converted to the CSV serving weight of 90 g. Range is a transparent prep-variability modeling band of ±10%; this range is not reported by INDB. Vitamin D = D2+D3; Vitamin K = K1+K2. Vitamin B12 is not present in the supplied INDB workbook and is therefore left TBD rather than fabricated.,High,,"Section 4/5: ingredients compiled from standard/typical recipes (not from INDB); allergens derived programmatically from that ingredient list using the spec vocabulary (dairy/egg/gluten/nuts/groundnut/soy/fish/shellfish); vitamin_b12 is a category-level estimate from standard published B12 values for the dish's primary animal-protein/dairy component (not from INDB, which has no B12 column); price is a rough India-wide market estimate, not measured data.",Anuvaad Indian Nutrient Databank (INDB) 2024.11,Direct INDB equivalent: Jowar dosa; INDB 2024.11 values are per 100 g and were converted to the CSV serving weight of 90 g. Range is a transparent prep-variability modeling band of ±10%; this range is not reported by INDB. Vitamin D = D2+D3; Vitamin K = K1+K2. Vitamin B12 is not present in the supplied INDB workbook and is therefore left TBD rather than fabricated.,High,USDA FoodData Central,"Category-level estimate: curd/yogurt or milk is the dish's primary (or only) dairy component. USDA values for plain curd/yogurt and whole milk (~0.4-0.6 mcg/100g), scaled to a typical dairy-content fraction of this serving. Not from INDB.",Medium,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,Exact,Jowar dosa,"prep-variability modeling band (internally generated, not source-reported)",10.0,No variants listed
FD008,Uttapam,"Uthappam, Uttappa",Onion Uttapam,Breakfast & Tiffin,Dosa/Uttapam,1,piece,90,353.445,478.19,1.458,1.973,8.657,11.712,34.657,46.889,0.966,1.306,0.279,0.377,4.451,6.022,9.446,12.78,69.007,93.362,0.207,0.28,109.798,148.55,0.0,0.0,2.621,3.546,1.108,1.499,17.042,23.056,4.579,6.196,0.026,0.035,0.01,0.014,0.038,0.052,6.407,8.668,0.0,0.0,Vegetarian,,"rice, urad dal, onion, tomato, green chilli, oil",30,80,Anuvaad Indian Nutrient Databank (INDB) 2024.11,Closest INDB analogue: Onion tomato uttapam; INDB 2024.11 values are per 100 g and were converted to the CSV serving weight of 90 g. Range is a transparent prep-variability modeling band of ±15%; this range is not reported by INDB. Vitamin D = D2+D3; Vitamin K = K1+K2. Vitamin B12 is not present in the supplied INDB workbook and is therefore left TBD rather than fabricated.,Medium,"The base Uttapam recipe already lists onion among its own ingredients, so ""Onion Uttapam"" is the same dish as the base row, not a distinct preparation. No nutritional difference expected.","Section 4/5: ingredients compiled from standard/typical recipes (not from INDB); allergens derived programmatically from that ingredient list using the spec vocabulary (dairy/egg/gluten/nuts/groundnut/soy/fish/shellfish); vitamin_b12 is a category-level estimate from standard published B12 values for the dish's primary animal-protein/dairy component (not from INDB, which has no B12 column); price is a rough India-wide market estimate, not measured data.",Anuvaad Indian Nutrient Databank (INDB) 2024.11,Closest INDB analogue: Onion tomato uttapam; INDB 2024.11 values are per 100 g and were converted to the CSV serving weight of 90 g. Range is a transparent prep-variability modeling band of ±15%; this range is not reported by INDB. Vitamin D = D2+D3; Vitamin K = K1+K2. Vitamin B12 is not present in the supplied INDB workbook and is therefore left TBD rather than fabricated.,Medium,N/A — no significant dietary B12 source,"Compiled ingredient list contains no meat, fish, egg, dairy solids, or fortified ingredient — only plant-based ingredients, and/or ghee/butter in amounts too small to contribute measurable B12 (B12 resides in milk solids/whey, not milk fat). Vitamin B12 is not naturally present in plant foods (USDA FoodData Central), so the value is retained at 0.0 rather than estimated.",High,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,Close recipe,Onion tomato uttapam,"prep-variability modeling band (internally generated, not source-reported)",15.0,"Reviewed — synonym only, no split needed"
FD009,Medu Vada,"Ulundu Vadai, Uddina Vade, Garelu",Sambar Vada (soaked in sambar),Breakfast & Tiffin,Vada & Fritters,2,pieces,60,380.205,514.395,2.237,3.026,4.946,6.692,38.921,52.657,1.157,1.565,0.492,0.666,5.407,7.316,16.841,22.784,112.288,151.919,0.291,0.394,33.595,45.452,0.0,0.0,0.0,0.0,0.817,1.105,19.112,25.857,3.249,4.396,0.02,0.028,0.009,0.012,0.021,0.029,8.608,11.646,0.0,0.0,Vegetarian,,"urad dal, black pepper, curry leaves, oil",30,80,Anuvaad Indian Nutrient Databank (INDB) 2024.11,Closest INDB analogue: Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada); INDB 2024.11 values are per 100 g and were converted to the CSV serving weight of 60 g. Range is a transparent prep-variability modeling band of ±15%; this range is not reported by INDB. Vitamin D = D2+D3; Vitamin K = K1+K2. Vitamin B12 is not present in the supplied INDB workbook and is therefore left TBD rather than fabricated.,Medium,"Sambar Vada is the same fried vada soaked in sambar before serving — adds sambar's dal/vegetable/tamarind liquid, changing carbs, sodium and fat-per-serving versus the dry-served base vada. Consider splitting out.","Section 4/5: ingredients compiled from standard/typical recipes (not from INDB); allergens derived programmatically from that ingredient list using the spec vocabulary (dairy/egg/gluten/nuts/groundnut/soy/fish/shellfish); vitamin_b12 is a category-level estimate from standard published B12 values for the dish's primary animal-protein/dairy component (not from INDB, which has no B12 column); price is a rough India-wide market estimate, not measured data.",Anuvaad Indian Nutrient Databank (INDB) 2024.11,Closest INDB analogue: Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada); INDB 2024.11 values are per 100 g and were converted to the CSV serving weight of 60 g. Range is a transparent prep-variability modeling band of ±15%; this range is not reported by INDB. Vitamin D = D2+D3; Vitamin K = K1+K2. Vitamin B12 is not present in the supplied INDB workbook and is therefore left TBD rather than fabricated.,Medium,N/A — no significant dietary B12 source,"Compiled ingredient list contains no meat, fish, egg, dairy solids, or fortified ingredient — only plant-based ingredients, and/or ghee/butter in amounts too small to contribute measurable B12 (B12 resides in milk solids/whey, not milk fat). Vitamin B12 is not naturally present in plant foods (USDA FoodData Central), so the value is retained at 0.0 rather than estimated.",High,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,Close recipe,Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada),"prep-variability modeling band (internally generated, not source-reported)",15.0,"Reviewed — distinct variant, split recommended"
FD010,Masala Vada,"Paruppu Vadai, Chana Dal Vada",,Breakfast & Tiffin,Vada & Fritters,2,pieces,60,421.273,569.957,0.86,1.163,2.072,2.803,45.469,61.517,0.544,0.736,0.264,0.358,3.801,5.142,5.323,7.202,49.566,67.059,0.126,0.171,38.011,51.426,0.0,0.0,0.387,0.524,0.323,0.437,22.347,30.234,4.385,5.933,0.016,0.022,0.006,0.008,0.012,0.016,6.077,8.222,0.0,0.0,Vegetarian,,"chana dal, onion, green chilli, curry leaves, oil",30,80,Anuvaad Indian Nutrient Databank (INDB) 2024.11,Closest INDB analogue: Masala vada; INDB 2024.11 values are per 100 g and were converted to the CSV serving weight of 60 g. Range is a transparent prep-variability modeling band of ±15%; this range is not reported by INDB. Vitamin D = D2+D3; Vitamin K = K1+K2. Vitamin B12 is not present in the supplied INDB workbook and is therefore left TBD rather than fabricated.,Medium,,"Section 4/5: ingredients compiled from standard/typical recipes (not from INDB); allergens derived programmatically from that ingredient list using the spec vocabulary (dairy/egg/gluten/nuts/groundnut/soy/fish/shellfish); vitamin_b12 is a category-level estimate from standard published B12 values for the dish's primary animal-protein/dairy component (not from INDB, which has no B12 column); price is a rough India-wide market estimate, not measured data.",Anuvaad Indian Nutrient Databank (INDB) 2024.11,Closest INDB analogue: Masala vada; INDB 2024.11 values are per 100 g and were converted to the CSV serving weight of 60 g. Range is a transparent prep-variability modeling band of ±15%; this range is not reported by INDB. Vitamin D = D2+D3; Vitamin K = K1+K2. Vitamin B12 is not present in the supplied INDB workbook and is therefore left TBD rather than fabricated.,Medium,N/A — no significant dietary B12 source,"Compiled ingredient list contains no meat, fish, egg, dairy solids, or fortified ingredient — only plant-based ingredients, and/or ghee/butter in amounts too small to contribute measurable B12 (B12 resides in milk solids/whey, not milk fat). Vitamin B12 is not naturally present in plant foods (USDA FoodData Central), so the value is retained at 0.0 rather than estimated.",High,PENDING_AUDIT,PENDING_AUDIT,PENDING_AUDIT,Close recipe,Masala vada,"prep-variability modeling band (internally generated, not source-reported)",15.0,No variants listed
